group_id,group_name,num_members,category_id,category_name,organizer_id,urlname
339011.0,Nashville Hiking Meetup,15818.0,23.0,Outdoors & Adventure,4353803.0,nashville-hiking
19728145.0,Stepping Out Social Dance Meetup,1778.0,5.0,Dancing,118484462.0,steppingoutsocialdance
6335372.0,Nashville soccer,2866.0,32.0,Sports & Recreation,108448302.0,Nashville-soccer
20040517.0,Franklin 40+ Out and About,1272.0,31.0,Socializing,115037452.0,Franklin-40-Out-and-About
9452822.0,615 LOL (Live Out Loud),3213.0,31.0,Socializing,14621123.0,615-LOL-Live-Out-Loud
24440003.0,Outgoing Introverts of Nashville (20s/30s),721.0,31.0,Socializing,105492502.0,Nashchill
10016242.0,NashJS,1976.0,34.0,Tech,8111102.0,nashjs
11077852.0,Sunday Assembly Nashville,918.0,28.0,Religion & Beliefs,4765912.0,Sunday-Assembly-Nashville
21174496.0,20's & 30's Women looking for girlfriends,2761.0,31.0,Socializing,184580248.0,new-friends-in-Nashville
1763190.0,Nashville Tennis Meetup,1561.0,32.0,Sports & Recreation,9890725.0,Nashville-Tennis-Meetup
19115644.0,Sex Positive Nashville,719.0,14.0,Health & Wellbeing,8998727.0,sexposnashville
11625832.0,PyNash,1437.0,34.0,Tech,215201845.0,PyNash
22197221.0,Team Green Adventures,1798.0,23.0,Outdoors & Adventure,199336381.0,TeamGreenAdventures
18243826.0,Middle TN 40+ singles,2575.0,30.0,Singles,198309808.0,MTN-40
526316.0,¡Diablos Que Bailan! (Salsa Nashville),3466.0,5.0,Dancing,12229328.0,diablos-que-bailan
1585196.0,Tennessee Hiking Group,4821.0,23.0,Outdoors & Adventure,13537265.0,TennesseeHikingGroup
168014.0,The Nashville Writers Meetup,3286.0,36.0,Writing,1281684.0,nashvillewriters
19218850.0,Greater Nashville Healthcare Analytics,763.0,34.0,Tech,12825115.0,Greater-Nashville-Healthcare-Analytics
1788274.0,"Horror, Suspense, Sci-Fi & Fantasy Friends",1333.0,20.0,Movies & Film,13677114.0,horrorfriends
1526075.0,Nashville Area Gamer Association - NAGA,2722.0,11.0,Games,10764011.0,NAGACentral
1102353.0,Nashville Backpacker Meetup,3849.0,23.0,Outdoors & Adventure,7528310.0,NashvilleBackpacker
18955830.0,Eat Love Nash,5004.0,31.0,Socializing,13814459.0,EatLoveNash
23018525.0,All Things Fabulous: Black Professional Women,604.0,10.0,Food & Drink,106819122.0,All-Things-Fablous-Black-Professional-Women
18495240.0,Middle Tennessee Hiking Meetup,1572.0,23.0,Outdoors & Adventure,183268581.0,Middle-Tennessee-Hiking-Outdoor-Meetup
25066933.0,African American Women Socializing,270.0,2.0,Career & Business,19658701.0,aawstn
18589616.0,Agile Nashville User Group,862.0,34.0,Tech,126249582.0,Agile-Nashville-User-Group
1680888.0,Tennessee Golf Events,265.0,32.0,Sports & Recreation,12559929.0,Tennessee-Golf-Events
7836842.0,Nashville UX,1318.0,34.0,Tech,21627131.0,nashville-ux
47094.0,The Greater Nashville RPG and Board Gamers Group,2373.0,11.0,Games,185299351.0,dnd-49
18297014.0,Nashville Christian Singles,1681.0,23.0,Outdoors & Adventure,183268581.0,Nashville-Active-Christian-Singles
18562307.0,Nashville Young Professionals Meetup,3202.0,2.0,Career & Business,8736052.0,Nashville-Young-Professionals-Meetup
18616278.0,Franklin Developer Lunch & Learn,628.0,34.0,Tech,170855672.0,franklin-developer-lunch
16477792.0,Nashville .NET User Group,1368.0,34.0,Tech,16790301.0,Nashville-NET-User-Group
20181560.0,Tails of the Trail,1235.0,26.0,Pets & Animals,365419.0,Tails-of-the-Trail
