member_id,group_id,weight
2069,19277993,3
625050,19277993,2
1939496,19277993,1
2606806,19277993,4
3438546,19277993,1
4211111,19277993,1
4353024,19277993,5
5175848,19277993,1
5300858,19277993,1
5636006,19277993,1
5729989,19277993,1
6045513,19277993,1
6160486,19277993,1
6540851,19277993,2
6752008,19277993,1
7643395,19277993,1
7644736,19277993,1
7712083,19277993,10
7768516,19277993,1
7809273,19277993,1
7813939,19277993,1
7981818,19277993,7
8755133,19277993,4
9005384,19277993,1
9408769,19277993,1
9710170,19277993,2
9836992,19277993,2
9877008,19277993,1
10309794,19277993,9
10316298,19277993,1
10853675,19277993,5
11254617,19277993,1
12541555,19277993,3
12796969,19277993,1
13015711,19277993,6
13105002,19277993,1
13275146,19277993,18
13766608,19277993,1
13783999,19277993,11
13814003,19277993,1
14403986,19277993,1
14718861,19277993,1
14958671,19277993,1
22476571,19277993,1
22624461,19277993,1
23540031,19277993,1
28505562,19277993,2
38288962,19277993,1
45920892,19277993,1
47572122,19277993,3
48020352,19277993,4
49850062,19277993,2
52088722,19277993,1
53115852,19277993,4
53121132,19277993,2
55029192,19277993,1
56277052,19277993,2
58717942,19277993,1
60195472,19277993,1
62103862,19277993,2
63169652,19277993,21
69931222,19277993,1
70666292,19277993,1
82203572,19277993,9
82545112,19277993,1
82968792,19277993,1
87404222,19277993,1
87774872,19277993,1
89861182,19277993,1
89867622,19277993,3
91751202,19277993,1
92701572,19277993,13
93493412,19277993,1
94250692,19277993,1
94498242,19277993,1
97036102,19277993,1
100449852,19277993,1
101312342,19277993,6
102695132,19277993,1
104949862,19277993,1
105538032,19277993,5
105960092,19277993,11
106945172,19277993,4
113116532,19277993,1
114279782,19277993,2
114615372,19277993,2
120681332,19277993,1
123370602,19277993,3
127144472,19277993,1
135113782,19277993,1
135733652,19277993,17
138867992,19277993,1
149592462,19277993,1
155013572,19277993,1
155888802,19277993,2
159097962,19277993,1
159851832,19277993,1
160995592,19277993,1
161047052,19277993,2
161055882,19277993,2
161237842,19277993,4
162627572,19277993,1
165178312,19277993,2
169241162,19277993,9
169484362,19277993,1
173556522,19277993,1
177135382,19277993,3
180724892,19277993,1
181103802,19277993,6
181545832,19277993,1
182631962,19277993,1
182682136,19277993,3
182827769,19277993,13
183367514,19277993,1
183378188,19277993,23
183548200,19277993,1
183550384,19277993,2
183727389,19277993,1
184109815,19277993,1
184162999,19277993,1
184268293,19277993,7
184352575,19277993,2
184413641,19277993,3
184602143,19277993,5
184917918,19277993,12
185692888,19277993,11
186654507,19277993,3
186974810,19277993,15
187353081,19277993,1
187951183,19277993,1
188763008,19277993,3
189029901,19277993,7
189367825,19277993,1
189602585,19277993,3
191074840,19277993,1
192823934,19277993,1
193420743,19277993,3
193609612,19277993,2
194099532,19277993,6
195161271,19277993,1
195337451,19277993,2
195470542,19277993,1
197639845,19277993,1
197642047,19277993,9
197715975,19277993,2
197728111,19277993,9
197948725,19277993,2
198006132,19277993,2
198105506,19277993,7
198108003,19277993,3
198124436,19277993,2
198135687,19277993,1
198291973,19277993,5
198309639,19277993,11
198324314,19277993,1
198327014,19277993,1
198331825,19277993,3
198332016,19277993,9
198333848,19277993,6
198386354,19277993,1
198392292,19277993,1
198608782,19277993,1
198618067,19277993,10
198673357,19277993,1
198740479,19277993,10
198777771,19277993,12
198976621,19277993,1
199324203,19277993,4
199538122,19277993,5
199558573,19277993,4
199570331,19277993,5
200898815,19277993,3
201244054,19277993,1
201249049,19277993,10
201311920,19277993,1
201446209,19277993,3
201636697,19277993,2
