member_id,in_pynash,num_groups,degree,clustering,centrality
198737924,False,1,28,1.0,2.1442373893356109e-07
73498632,False,1,88,1.0,2.0383304248256924e-09
182943766,False,1,52,1.0,4.053241754205839e-08
216072216,False,1,137,1.0,1.8513206057476204e-07
183566364,False,1,88,1.0,2.2220977092726885e-07
234684445,False,2,359,0.7455688520253342,3.2789296236676195e-05
200114206,False,1,26,1.0,3.7399426373010654e-07
200769567,False,1,28,1.0,7.644513629212033e-09
226754592,False,1,344,1.0,7.701120776973185e-09
13631520,False,2,40,0.6448717948717949,0.00011661168865651945
217350178,False,3,213,0.5102311985118256,0.0002122423241985239
205193250,False,1,441,1.0,3.8029963227395383e-07
182648870,False,1,180,1.0,6.820626051873344e-07
230522918,False,1,10,1.0,9.703996043156705e-08
115965992,False,2,288,0.5070896244676733,0.000307291649027081
219873321,False,1,180,1.0,6.820626051873344e-07
182190122,False,2,256,0.7282169117647059,9.743211669483634e-05
198574124,False,1,233,1.0,1.4134407037380135e-06
219250733,False,1,40,1.0,1.212194844012472e-08
221511725,False,1,19,1.0,7.700923842759885e-09
192184367,False,1,49,1.0,0.0
101056562,False,1,232,1.0,1.3982463034795172e-07
210436146,False,1,145,1.0,1.3687853885821165e-06
229310518,False,1,137,1.0,1.8513206057476204e-07
21561411,False,1,159,1.0,2.662913970951173e-07
16384071,False,1,37,1.0,8.424771223532505e-09
78315592,False,1,213,1.0,2.174486193289473e-07
187334729,False,3,169,0.6313045928430544,3.173313803420894e-05
30179402,False,2,141,0.62016210739615,2.4394542536366805e-05
34340942,False,1,138,1.0,5.318591769487996e-08
211353678,False,2,60,0.7694915254237288,3.827388977458646e-05
25034832,False,1,399,1.0,1.1754861399431947e-06
229015643,False,1,135,1.0,4.330881397314132e-07
214466652,False,1,159,1.0,2.0247282602394149e-07
204669023,False,2,577,0.6412899576352783,0.001177392559317512
7864416,False,1,111,1.0,1.239843368010586e-06
195657825,False,3,806,0.4550991785213384,0.0014701242836766097
228655199,False,1,198,1.0,2.096279168268282e-07
